NOMBRE_PASO_PE;HORA;SOLAR;EOLICO;;;;;;
103;0;0;0.261432825;;;;;;
103;1;0;0.254653712;;;;;;
103;2;0;0.222447546;;;;;;
103;3;0;0.185247542;;;;;;
103;4;0;0.187880106;;;;;;
103;5;0;0.194408462;;;;;;
103;6;0.000129258;0.188905487;;;;;;
103;7;0.051892617;0.244069667;;;;;;
103;8;0.166007653;0.137538766;;;;;;
103;9;0.269761171;0.06950181;;;;;;
103;10;0.346577929;0.039886441;;;;;;
103;11;0.40588156;0.033156062;;;;;;
103;12;0.420717913;0.021443832;;;;;;
103;13;0.366723461;0.025077179;;;;;;
103;14;0.397925055;0.026111162;;;;;;
103;15;0.245578955;0.022505564;;;;;;
103;16;0.091701974;0.029148214;;;;;;
103;17;0.028072554;0.061334584;;;;;;
103;18;0.000997868;0.079383874;;;;;;
103;19;0;0.131409979;;;;;;
103;20;0;0.181646518;;;;;;
103;21;0;0.208115448;;;;;;
103;22;0;0.176780455;;;;;;
103;23;0;0.19658134;;;;;;
104;0;0;0.15701276;;;;;;
104;1;0;0.144597938;;;;;;
104;2;0;0.220090447;;;;;;
104;3;0;0.143855169;;;;;;
104;4;0;0.071360683;;;;;;
104;5;0;0.129618395;;;;;;
104;6;1.16E-06;0.134570951;;;;;;
104;7;0.031640633;0.081372293;;;;;;
104;8;0.280480636;0.063659409;;;;;;
104;9;0.425845709;0.05772879;;;;;;
104;10;0.599746883;0.062228388;;;;;;
104;11;0.750920925;0.039707746;;;;;;
104;12;0.761931021;0.02889818;;;;;;
104;13;0.693520448;0.042220389;;;;;;
104;14;0.565308273;0.086072861;;;;;;
104;15;0.456635634;0.060730798;;;;;;
104;16;0.312948571;0.067677217;;;;;;
104;17;0.13303874;0.161753052;;;;;;
104;18;0.007270984;0.140554713;;;;;;
104;19;0;0.140459921;;;;;;
104;20;0;0.150233578;;;;;;
104;21;0;0.117133011;;;;;;
104;22;0;0.146378857;;;;;;
104;23;0;0.148951018;;;;;;
105;0;0;0.131305282;;;;;;
105;1;0;0.266250005;;;;;;
105;2;0;0.257502423;;;;;;
105;3;0;0.248375854;;;;;;
105;4;0;0.225728858;;;;;;
105;5;0;0.335277573;;;;;;
105;6;3.49E-06;0.301761429;;;;;;
105;7;0.034334714;0.207031056;;;;;;
105;8;0.261152657;0.113446782;;;;;;
105;9;0.484903633;0.071625729;;;;;;
105;10;0.644080936;0.053218854;;;;;;
105;11;0.761050513;0.050080467;;;;;;
105;12;0.81703038;0.046325982;;;;;;
105;13;0.794234541;0.051594423;;;;;;
105;14;0.713969658;0.05611612;;;;;;
105;15;0.561995075;0.052738773;;;;;;
105;16;0.423608666;0.059185766;;;;;;
105;17;0.137460626;0.064074696;;;;;;
105;18;0.007393168;0.096681414;;;;;;
105;19;0;0.089152342;;;;;;
105;20;0;0.07820215;;;;;;
105;21;0;0.065277055;;;;;;
105;22;0;0.067078429;;;;;;
105;23;0;0.087730962;;;;;;
106;0;0;0.095974259;;;;;;
106;1;0;0.098104691;;;;;;
106;2;0;0.12448022;;;;;;
106;3;0;0.152989491;;;;;;
106;4;0;0.144029542;;;;;;
106;5;0;0.134940548;;;;;;
106;6;1.36E-05;0.141861221;;;;;;
106;7;0.034392886;0.156360132;;;;;;
106;8;0.178329007;0.17316139;;;;;;
106;9;0.356521343;0.144769274;;;;;;
106;10;0.560357524;0.084853769;;;;;;
106;11;0.6551433;0.081929561;;;;;;
106;12;0.685263476;0.081571041;;;;;;
106;13;0.662138304;0.08397809;;;;;;
106;14;0.542004529;0.063263016;;;;;;
106;15;0.485174375;0.038498912;;;;;;
106;16;0.339180542;0.044995615;;;;;;
106;17;0.135850302;0.050085396;;;;;;
106;18;0.00279647;0.089356853;;;;;;
106;19;0;0.105126225;;;;;;
106;20;0;0.188193734;;;;;;
106;21;0;0.28494362;;;;;;
106;22;0;0.314388519;;;;;;
106;23;0;0.417062235;;;;;;
107;0;0;0.43770925;;;;;;
107;1;0;0.517984351;;;;;;
107;2;0;0.60694029;;;;;;
107;3;0;0.575948488;;;;;;
107;4;0;0.566151541;;;;;;
107;5;0;0.501102416;;;;;;
107;6;2.33E-06;0.48641098;;;;;;
107;7;0.018282178;0.453795335;;;;;;
107;8;0.146232113;0.397083731;;;;;;
107;9;0.325504841;0.257300046;;;;;;
107;10;0.511544785;0.136727541;;;;;;
107;11;0.510720206;0.085212155;;;;;;
107;12;0.612787079;0.091749777;;;;;;
107;13;0.594701868;0.127158294;;;;;;
107;14;0.490551318;0.125102762;;;;;;
107;15;0.386562526;0.110449078;;;;;;
107;16;0.319416467;0.094410932;;;;;;
107;17;0.121600119;0.046632149;;;;;;
107;18;0.005398087;0.064820005;;;;;;
107;19;0;0.090091293;;;;;;
107;20;0;0.098990503;;;;;;
107;21;0;0.067415451;;;;;;
107;22;0;0.109217431;;;;;;
107;23;0;0.095401478;;;;;;
108;0;0;0.060790705;;;;;;
108;1;0;0.05800516;;;;;;
108;2;0;0.041136735;;;;;;
108;3;0;0.035894374;;;;;;
108;4;0;0.058623835;;;;;;
108;5;0;0.046643255;;;;;;
