DEMANDA_TOTAL;FACTOR_SOLAR;FACTOR_EOLICO;POTENCIA_SOLAR;POTENCIA_EOLICA;DEMANDA_RESIDUAL;DEMANDA_RESIDUAL_POSITIVA
1155;0.028072554;0.061334584;7.0181385;92.001876;1055.979986;1055.979986
1206;0.000997868;0.079383874;0.249467;119.075811;1086.674722;1086.674722
1355;0;0.131409979;0;197.1149685;1157.885032;1157.885032
1354;0;0.181646518;0;272.469777;1081.530223;1081.530223
1318;0;0.208115448;0;312.173172;1005.826828;1005.826828
1223;0;0.176780455;0;265.1706825;957.8293175;957.8293175
1176;0;0.19658134;0;294.87201;881.12799;881.12799
1021;0;0.15701276;0;235.51914;785.48086;785.48086
946;0;0.144597938;0;216.896907;729.103093;729.103093
872;0;0.220090447;0;330.1356705;541.8643295;541.8643295
836;0;0.143855169;0;215.7827535;620.2172465;620.2172465
832;0;0.071360683;0;107.0410245;724.9589755;724.9589755
844;0;0.129618395;0;194.4275925;649.5724075;649.5724075
875;1.16E-06;0.134570951;0.00029;201.8564265;673.1432835;673.1432835
886;0.031640633;0.081372293;7.91015825;122.0584395;756.0314023;756.0314023
933;0.280480636;0.063659409;70.120159;95.4891135;767.3907275;767.3907275
1007;0.425845709;0.05772879;106.4614273;86.593185;813.9453878;813.9453878
1041;0.599746883;0.062228388;149.9367208;93.342582;797.7206973;797.7206973
1074;0.750920925;0.039707746;187.7302313;59.561619;826.7081498;826.7081498
1083;0.761931021;0.02889818;190.4827553;43.34727;849.1699748;849.1699748
1094;0.693520448;0.042220389;173.380112;63.3305835;857.2893045;857.2893045
1046;0.565308273;0.086072861;141.3270683;129.1092915;775.5636403;775.5636403
1037;0.456635634;0.060730798;114.1589085;91.096197;831.7448945;831.7448945
1043;0.312948571;0.067677217;78.23714275;101.5158255;863.2470318;863.2470318
1080;0.13303874;0.161753052;33.259685;242.629578;804.110737;804.110737
1188;0.007270984;0.140554713;1.817746;210.8320695;975.3501845;975.3501845
1304;0;0.140459921;0;210.6898815;1093.310119;1093.310119
1301;0;0.150233578;0;225.350367;1075.649633;1075.649633
1240;0;0.117133011;0;175.6995165;1064.300484;1064.300484
1146;0;0.146378857;0;219.5682855;926.4317145;926.4317145
1051;0;0.148951018;0;223.426527;827.573473;827.573473
954;0;0.131305282;0;196.957923;757.042077;757.042077
896;0;0.266250005;0;399.3750075;496.6249925;496.6249925
821;0;0.257502423;0;386.2536345;434.7463655;434.7463655
783;0;0.248375854;0;372.563781;410.436219;410.436219
768;0;0.225728858;0;338.593287;429.406713;429.406713
761;0;0.335277573;0;502.9163595;258.0836405;258.0836405
767;3.49E-06;0.301761429;0.0008725;452.6421435;314.356984;314.356984
672;0.034334714;0.207031056;8.5836785;310.546584;352.8697375;352.8697375
751;0.261152657;0.113446782;65.28816425;170.170173;515.5416628;515.5416628
906;0.484903633;0.071625729;121.2259083;107.4385935;677.3354983;677.3354983
888;0.644080936;0.053218854;161.020234;79.828281;647.151485;647.151485
927;0.761050513;0.050080467;190.2626283;75.1207005;661.6166713;661.6166713
946;0.81703038;0.046325982;204.257595;69.488973;672.253432;672.253432
956;0.794234541;0.051594423;198.5586353;77.3916345;680.0497303;680.0497303
932;0.713969658;0.05611612;178.4924145;84.17418;669.3334055;669.3334055
911;0.561995075;0.052738773;140.4987688;79.1081595;691.3930718;691.3930718
906;0.423608666;0.059185766;105.9021665;88.778649;711.3191845;711.3191845
935;0.137460626;0.064074696;34.3651565;96.112044;804.5227995;804.5227995
1056;0.007393168;0.096681414;1.848292;145.022121;909.129587;909.129587
1210;0;0.089152342;0;133.728513;1076.271487;1076.271487
1198;0;0.07820215;0;117.303225;1080.696775;1080.696775
1172;0;0.065277055;0;97.9155825;1074.084418;1074.084418
1130;0;0.067078429;0;100.6176435;1029.382357;1029.382357
1036;0;0.087730962;0;131.596443;904.403557;904.403557
959;0;0.095974259;0;143.9613885;815.0386115;815.0386115
859;0;0.098104691;0;147.1570365;711.8429635;711.8429635
732;0;0.12448022;0;186.72033;545.27967;545.27967
802;0;0.152989491;0;229.4842365;572.5157635;572.5157635
799;0;0.144029542;0;216.044313;582.955687;582.955687
910;0;0.134940548;0;202.410822;707.589178;707.589178
946;1.36E-05;0.141861221;0.0034;212.7918315;733.2047685;733.2047685
998;0.034392886;0.156360132;8.5982215;234.540198;754.8615805;754.8615805
1036;0.178329007;0.17316139;44.58225175;259.742085;731.6756633;731.6756633
1122;0.356521343;0.144769274;89.13033575;217.153911;815.7157533;815.7157533
1143;0.560357524;0.084853769;140.089381;127.2806535;875.6299655;875.6299655
1162;0.6551433;0.081929561;163.785825;122.8943415;875.3198335;875.3198335
1173;0.685263476;0.081571041;171.315869;122.3565615;879.3275695;879.3275695
1146;0.662138304;0.08397809;165.534576;125.967135;854.498289;854.498289
1144;0.542004529;0.063263016;135.5011323;94.894524;913.6043438;913.6043438
1140;0.485174375;0.038498912;121.2935938;57.748368;960.9580383;960.9580383
1119;0.339180542;0.044995615;84.7951355;67.4934225;966.711442;966.711442
1109;0.135850302;0.050085396;33.9625755;75.128094;999.9093305;999.9093305
1181;0.00279647;0.089356853;0.6991175;134.0352795;1046.265603;1046.265603
1332;0;0.105126225;0;157.6893375;1174.310663;1174.310663
1341;0;0.188193734;0;282.290601;1058.709399;1058.709399
1314;0;0.28494362;0;427.41543;886.58457;886.58457
1239;0;0.314388519;0;471.5827785;767.4172215;767.4172215
1099;0;0.417062235;0;625.5933525;473.4066475;473.4066475
978;0;0.43770925;0;656.563875;321.436125;321.436125
905;0;0.517984351;0;776.9765265;128.0234735;128.0234735
